County Name,Year,Attribute,Value,State
ADAIR,2005,Total Expenditures,7490248,Iowa
ADAIR,2005,Total Ending Balance,2397437,Iowa
ADAIR,2005,Total Requirements,9887685,Iowa
ADAIR,2023,Total Expenditures,24018516,Iowa
ADAIR,2023,Total Ending Balance,20148358,Iowa
ADAIR,2023,Total Requirements,44166874,Iowa
ADAIR,2019,Total Expenditures,23373364,Iowa
ADAIR,2019,Total Ending Balance,6594337,Iowa
ADAIR,2019,Total Requirements,29967701,Iowa
ADAIR,2018,Total Expenditures,22153504,Iowa
ADAIR,2018,Total Ending Balance,5827678,Iowa
ADAIR,2018,Total Requirements,27981182,Iowa
ADAIR,2009,Total Expenditures,9614685,Iowa
ADAIR,2009,Total Ending Balance,2161188,Iowa
ADAIR,2009,Total Requirements,11775873,Iowa
ADAIR,2008,Total Expenditures,8391012,Iowa
ADAIR,2008,Total Ending Balance,2197578,Iowa
ADAIR,2008,Total Requirements,10588590,Iowa
ADAIR,2012,Total Expenditures,12865300,Iowa
ADAIR,2012,Total Ending Balance,5271678,Iowa
ADAIR,2012,Total Requirements,18136978,Iowa
ADAIR,2016,Total Expenditures,14865919,Iowa
ADAIR,2016,Total Ending Balance,8504854,Iowa
ADAIR,2016,Total Requirements,23370773,Iowa
ADAIR,2022,Total Expenditures,23721844,Iowa
ADAIR,2022,Total Ending Balance,6896128,Iowa
ADAIR,2022,Total Requirements,30617972,Iowa
ADAIR,2021,Total Expenditures,27199673,Iowa
ADAIR,2021,Total Ending Balance,7069050,Iowa
ADAIR,2021,Total Requirements,34268723,Iowa
ADAIR,2013,Total Expenditures,12184947,Iowa
ADAIR,2013,Total Ending Balance,3826518,Iowa
ADAIR,2013,Total Requirements,16011465,Iowa
ADAIR,2026,Total Expenditures,29379150,Iowa
ADAIR,2026,Total Ending Balance,19532847,Iowa
ADAIR,2026,Total Requirements,48911997,Iowa
ADAIR,2015,Total Expenditures,20051620,Iowa
ADAIR,2015,Total Ending Balance,4844289,Iowa
ADAIR,2015,Total Requirements,24895909,Iowa
ADAIR,2011,Total Expenditures,10661951,Iowa
ADAIR,2011,Total Ending Balance,2482703,Iowa
ADAIR,2011,Total Requirements,13144654,Iowa
ADAIR,2007,Total Expenditures,7994851,Iowa
ADAIR,2007,Total Ending Balance,2748763,Iowa
ADAIR,2007,Total Requirements,10743614,Iowa
ADAIR,2017,Total Expenditures,18736846,Iowa
ADAIR,2017,Total Ending Balance,4950902,Iowa
ADAIR,2017,Total Requirements,23687748,Iowa
ADAIR,2025,Total Expenditures,27529592,Iowa
ADAIR,2025,Total Ending Balance,12036751,Iowa
ADAIR,2025,Total Requirements,39566343,Iowa
ADAIR,2020,Total Expenditures,23548201,Iowa
ADAIR,2020,Total Ending Balance,9398189,Iowa
ADAIR,2020,Total Requirements,32946390,Iowa
ADAIR,2024,Total Expenditures,27020906,Iowa
ADAIR,2024,Total Ending Balance,11303542,Iowa
ADAIR,2024,Total Requirements,38324448,Iowa
ADAIR,2006,Total Expenditures,7753063,Iowa
ADAIR,2006,Total Ending Balance,2316104,Iowa
ADAIR,2006,Total Requirements,10069167,Iowa
ADAIR,2010,Total Expenditures,10588745,Iowa
ADAIR,2010,Total Ending Balance,1848694,Iowa
ADAIR,2010,Total Requirements,12437439,Iowa
ADAIR,2014,Total Expenditures,11772966,Iowa
ADAIR,2014,Total Ending Balance,3039490,Iowa
ADAIR,2014,Total Requirements,14812456,Iowa
ADAMS,2014,Total Expenditures,7705043,Iowa
ADAMS,2014,Total Ending Balance,2365957,Iowa
ADAMS,2014,Total Requirements,10071000,Iowa
ADAMS,2024,Total Expenditures,13229829,Iowa
ADAMS,2024,Total Ending Balance,3935671,Iowa
ADAMS,2024,Total Requirements,17165500,Iowa
ADAMS,2020,Total Expenditures,9631079,Iowa
ADAMS,2020,Total Ending Balance,2616845,Iowa
ADAMS,2020,Total Requirements,12247924,Iowa
ADAMS,2009,Total Expenditures,8178964,Iowa
ADAMS,2009,Total Ending Balance,1408591,Iowa
ADAMS,2009,Total Requirements,9587555,Iowa
ADAMS,2005,Total Expenditures,5964135,Iowa
ADAMS,2005,Total Ending Balance,1513011,Iowa
ADAMS,2005,Total Requirements,7477146,Iowa
ADAMS,2013,Total Expenditures,7762744,Iowa
ADAMS,2013,Total Ending Balance,2453146,Iowa
ADAMS,2013,Total Requirements,10215890,Iowa
ADAMS,2023,Total Expenditures,11769972,Iowa
ADAMS,2023,Total Ending Balance,3890099,Iowa
ADAMS,2023,Total Requirements,15660071,Iowa
ADAMS,2019,Total Expenditures,9528925,Iowa
ADAMS,2019,Total Ending Balance,2309564,Iowa
ADAMS,2019,Total Requirements,11838489,Iowa
ADAMS,2026,Total Expenditures,16152807,Iowa
ADAMS,2026,Total Ending Balance,5485562,Iowa
ADAMS,2026,Total Requirements,21638369,Iowa
ADAMS,2008,Total Expenditures,7008373,Iowa
ADAMS,2008,Total Ending Balance,1754926,Iowa
ADAMS,2008,Total Requirements,8763299,Iowa
ADAMS,2012,Total Expenditures,7604810,Iowa
ADAMS,2012,Total Ending Balance,2710259,Iowa
ADAMS,2012,Total Requirements,10315069,Iowa
ADAMS,2016,Total Expenditures,12557394,Iowa
ADAMS,2016,Total Ending Balance,1890143,Iowa
ADAMS,2016,Total Requirements,14447537,Iowa
ADAMS,2022,Total Expenditures,10810300,Iowa
ADAMS,2022,Total Ending Balance,4262822,Iowa
ADAMS,2022,Total Requirements,15073122,Iowa
ADAMS,2007,Total Expenditures,7391573,Iowa
ADAMS,2007,Total Ending Balance,924410,Iowa
ADAMS,2007,Total Requirements,8315983,Iowa
ADAMS,2025,Total Expenditures,13597857,Iowa
ADAMS,2025,Total Ending Balance,5045467,Iowa
ADAMS,2025,Total Requirements,18643324,Iowa
ADAMS,2021,Total Expenditures,11170451,Iowa
ADAMS,2021,Total Ending Balance,3701044,Iowa
ADAMS,2021,Total Requirements,14871495,Iowa
ADAMS,2011,Total Expenditures,7316456,Iowa
ADAMS,2011,Total Ending Balance,2620691,Iowa
ADAMS,2011,Total Requirements,9937147,Iowa
ADAMS,2015,Total Expenditures,8274601,Iowa
ADAMS,2015,Total Ending Balance,1782123,Iowa
ADAMS,2015,Total Requirements,10056724,Iowa
ADAMS,2017,Total Expenditures,9369238,Iowa
ADAMS,2017,Total Ending Balance,1783476,Iowa
ADAMS,2017,Total Requirements,11152714,Iowa
ADAMS,2018,Total Expenditures,9337169,Iowa
ADAMS,2018,Total Ending Balance,2525585,Iowa
ADAMS,2018,Total Requirements,11862754,Iowa
ADAMS,2010,Total Expenditures,7379656,Iowa
ADAMS,2010,Total Ending Balance,1742251,Iowa
ADAMS,2010,Total Requirements,9121907,Iowa
ADAMS,2006,Total Expenditures,6583972,Iowa
ADAMS,2006,Total Ending Balance,994270,Iowa
ADAMS,2006,Total Requirements,7578242,Iowa
ALLAMAKEE,2021,Total Expenditures,18268666,Iowa
ALLAMAKEE,2021,Total Ending Balance,2697821,Iowa
ALLAMAKEE,2021,Total Requirements,20966487,Iowa
ALLAMAKEE,2017,Total Expenditures,22992705,Iowa
ALLAMAKEE,2017,Total Ending Balance,3089531,Iowa
ALLAMAKEE,2017,Total Requirements,26082236,Iowa
ALLAMAKEE,2006,Total Expenditures,11530681,Iowa
ALLAMAKEE,2006,Total Ending Balance,2608677,Iowa
ALLAMAKEE,2006,Total Requirements,14139358,Iowa
ALLAMAKEE,2014,Total Expenditures,14454112,Iowa
ALLAMAKEE,2014,Total Ending Balance,1842561,Iowa
ALLAMAKEE,2014,Total Requirements,16296673,Iowa
ALLAMAKEE,2025,Total Expenditures,21790185,Iowa
ALLAMAKEE,2025,Total Ending Balance,3627780,Iowa
ALLAMAKEE,2025,Total Requirements,25417965,Iowa
ALLAMAKEE,2016,Total Expenditures,17399601,Iowa
ALLAMAKEE,2016,Total Ending Balance,2063324,Iowa
ALLAMAKEE,2016,Total Requirements,19462925,Iowa
ALLAMAKEE,2020,Total Expenditures,17941004,Iowa
ALLAMAKEE,2020,Total Ending Balance,2586457,Iowa
ALLAMAKEE,2020,Total Requirements,20527461,Iowa
ALLAMAKEE,2024,Total Expenditures,21834733,Iowa
ALLAMAKEE,2024,Total Ending Balance,3200724,Iowa
ALLAMAKEE,2024,Total Requirements,25035457,Iowa
ALLAMAKEE,2005,Total Expenditures,10923303,Iowa
ALLAMAKEE,2005,Total Ending Balance,2522655,Iowa
ALLAMAKEE,2005,Total Requirements,13445958,Iowa
ALLAMAKEE,2009,Total Expenditures,12663970,Iowa
ALLAMAKEE,2009,Total Ending Balance,3228532,Iowa
ALLAMAKEE,2009,Total Requirements,15892502,Iowa
ALLAMAKEE,2013,Total Expenditures,20665290,Iowa
ALLAMAKEE,2013,Total Ending Balance,1519363,Iowa
ALLAMAKEE,2013,Total Requirements,22184653,Iowa
ALLAMAKEE,2023,Total Expenditures,21008134,Iowa
ALLAMAKEE,2023,Total Ending Balance,3320096,Iowa
ALLAMAKEE,2023,Total Requirements,24328230,Iowa
ALLAMAKEE,2019,Total Expenditures,17237031,Iowa
ALLAMAKEE,2019,Total Ending Balance,2534008,Iowa
ALLAMAKEE,2019,Total Requirements,19771039,Iowa
ALLAMAKEE,2012,Total Expenditures,17119520,Iowa
ALLAMAKEE,2012,Total Ending Balance,1795520,Iowa
ALLAMAKEE,2012,Total Requirements,18915040,Iowa
ALLAMAKEE,2008,Total Expenditures,11538019,Iowa
ALLAMAKEE,2008,Total Ending Balance,3160181,Iowa
